,date,open,high,low,close,volume,average,barCount
0,2016-03-09 09:32:00,4.68,4.68,4.65,4.66,306,4.674,24
1,2016-03-09 09:33:00,4.66,4.66,4.66,4.66,3,4.66,1
2,2016-03-09 09:34:00,4.66,4.66,4.65,4.65,3,4.654,2
3,2016-03-09 09:35:00,4.65,4.65,4.65,4.65,62,4.65,6
4,2016-03-09 09:36:00,4.64,4.64,4.64,4.64,3,4.64,1
5,2016-03-09 09:37:00,4.64,4.64,4.64,4.64,0,4.64,0
6,2016-03-09 09:38:00,4.64,4.64,4.63,4.63,113,4.638,26
7,2016-03-09 09:39:00,4.63,4.64,4.63,4.63,292,4.63,12
8,2016-03-09 09:40:00,4.64,4.65,4.63,4.65,107,4.642,22
9,2016-03-09 09:41:00,4.65,4.65,4.65,4.65,0,4.65,0
10,2016-03-09 09:42:00,4.65,4.65,4.65,4.65,0,4.65,0
11,2016-03-09 09:43:00,4.66,4.66,4.65,4.65,27,4.658,13
12,2016-03-09 09:44:00,4.65,4.65,4.65,4.65,0,4.65,0
13,2016-03-09 09:45:00,4.64,4.64,4.64,4.64,3,4.64,3
14,2016-03-09 09:46:00,4.64,4.64,4.63,4.63,21,4.64,11
15,2016-03-09 09:47:00,4.63,4.63,4.63,4.63,1,4.63,1
16,2016-03-09 09:48:00,4.63,4.63,4.63,4.63,2,4.63,2
17,2016-03-09 09:49:00,4.63,4.63,4.63,4.63,3,4.63,3
18,2016-03-09 09:50:00,4.64,4.64,4.63,4.63,44,4.639,17
19,2016-03-09 09:51:00,4.63,4.63,4.63,4.63,0,4.63,0
20,2016-03-09 09:52:00,4.63,4.63,4.63,4.63,85,4.63,21
21,2016-03-09 09:53:00,4.63,4.63,4.63,4.63,0,4.63,0
22,2016-03-09 09:54:00,4.63,4.63,4.62,4.62,2,4.626,2
23,2016-03-09 09:55:00,4.62,4.63,4.62,4.63,3,4.624,3
24,2016-03-09 09:56:00,4.63,4.63,4.62,4.63,6,4.625,6
25,2016-03-09 09:57:00,4.63,4.63,4.62,4.63,1,4.625,1
26,2016-03-09 09:58:00,4.63,4.63,4.62,4.63,2,4.625,2
27,2016-03-09 09:59:00,4.63,4.63,4.62,4.63,72,4.63,20
28,2016-03-09 10:00:00,4.63,4.63,4.62,4.63,16,4.629,10
29,2016-03-09 10:01:00,4.63,4.63,4.62,4.63,1,4.625,1
30,2016-03-09 10:02:00,4.63,4.63,4.62,4.63,31,4.625,11
