,date,open,high,low,close,volume,average,barCount
0,2015-11-05 19:00:00,790.3,790.4,788.0,789.5,1802400,790.16,220
1,2015-11-05 19:01:00,789.2,789.8,787.1,787.6,245000,788.55,124
2,2015-11-05 19:02:00,787.4,787.8,785.6,785.9,419500,786.49,560
3,2015-11-05 19:03:00,785.8,787.8,785.3,787.3,260500,786.45,332
4,2015-11-05 19:04:00,787.1,787.7,786.5,786.8,262200,787.12,145
5,2015-11-05 19:05:00,787.0,787.3,785.6,786.2,378500,786.42,213
6,2015-11-05 19:06:00,786.1,788.4,785.2,788.0,262800,786.65,189
7,2015-11-05 19:07:00,787.9,788.6,787.2,788.4,197900,788.05,173
8,2015-11-05 19:08:00,788.4,789.7,788.4,788.6,192000,789.05,135
9,2015-11-05 19:09:00,788.7,790.3,787.0,790.3,482100,789.09,268
10,2015-11-05 19:10:00,790.3,790.3,788.8,788.9,166500,789.56,124
11,2015-11-05 19:11:00,788.8,789.2,788.3,789.1,156100,788.87,115
12,2015-11-05 19:12:00,789.1,789.1,788.2,788.7,104000,788.58,86
13,2015-11-05 19:13:00,788.8,789.1,788.3,788.6,153500,788.81,91
14,2015-11-05 19:14:00,788.5,788.7,788.2,788.2,106600,788.38,66
15,2015-11-05 19:15:00,788.4,788.4,787.6,787.6,212700,787.82,138
16,2015-11-05 19:16:00,787.6,788.0,786.9,786.9,159000,787.42,177
17,2015-11-05 19:17:00,786.9,787.9,786.9,787.6,115900,787.46,127
18,2015-11-05 19:18:00,787.7,787.9,787.0,787.4,92100,787.4,107
19,2015-11-05 19:19:00,787.4,788.6,787.4,787.7,361300,788.01,181
20,2015-11-05 19:20:00,787.7,787.7,786.6,786.8,304400,787.16,113
21,2015-11-05 19:21:00,786.8,787.1,786.4,786.5,67600,786.76,63
22,2015-11-05 19:22:00,786.6,786.6,786.0,786.4,179800,786.39,55
23,2015-11-05 19:23:00,786.4,786.5,786.0,786.3,75400,786.28,73
24,2015-11-05 19:24:00,786.2,787.5,786.2,787.2,104400,786.88,73
25,2015-11-05 19:25:00,787.2,787.4,786.7,786.9,73100,786.94,51
26,2015-11-05 19:26:00,786.8,787.0,786.3,786.4,57500,786.51,40
27,2015-11-05 19:27:00,786.4,786.8,786.4,786.7,91500,786.5,64
28,2015-11-05 19:28:00,786.7,787.6,786.7,787.2,104100,787.18,71
29,2015-11-05 19:29:00,787.4,787.5,787.0,787.4,45000,787.27,33
30,2015-11-05 19:30:00,787.3,787.6,787.2,787.4,55400,787.42,31
31,2015-11-05 19:31:00,787.3,787.7,787.0,787.2,136600,787.4,54
32,2015-11-05 19:32:00,787.2,787.3,786.6,787.3,67900,787.0,57
33,2015-11-05 19:33:00,787.3,787.4,787.1,787.3,71400,787.33,56
34,2015-11-05 19:34:00,787.2,787.4,786.6,786.7,118300,787.01,137
35,2015-11-05 19:35:00,786.7,786.7,786.0,786.5,183600,786.26,170
36,2015-11-05 19:36:00,786.5,787.0,786.3,786.9,91800,786.47,96
37,2015-11-05 19:37:00,786.8,787.4,786.6,787.1,78800,787.03,52
38,2015-11-05 19:38:00,787.1,787.7,786.9,787.1,141600,787.39,72
39,2015-11-05 19:39:00,787.3,787.6,786.9,787.0,54300,787.31,58
40,2015-11-05 19:40:00,787.0,787.3,786.7,787.3,46800,786.94,28
41,2015-11-05 19:41:00,787.3,787.8,787.3,787.5,100200,787.6,45
42,2015-11-05 19:42:00,787.5,788.4,787.5,788.4,222900,787.94,94
43,2015-11-05 19:43:00,788.4,788.5,787.7,787.9,153100,788.04,81
44,2015-11-05 19:44:00,787.9,787.9,787.2,787.5,62100,787.53,34
45,2015-11-05 19:45:00,787.5,787.9,787.3,787.6,34200,787.66,23
46,2015-11-05 19:46:00,787.8,787.9,787.5,787.7,41700,787.75,17
47,2015-11-05 19:47:00,787.5,787.6,786.9,786.9,150900,787.08,59
48,2015-11-05 19:48:00,786.9,787.5,786.9,787.2,87200,787.27,33
49,2015-11-05 19:49:00,787.2,787.3,786.6,786.7,94300,786.95,50
50,2015-11-05 19:50:00,786.7,787.4,786.7,787.4,45400,787.08,45
51,2015-11-05 19:51:00,787.3,787.3,786.7,786.9,76800,786.94,47
52,2015-11-05 19:52:00,786.9,786.9,786.6,786.7,71000,786.69,44
53,2015-11-05 19:53:00,786.7,787.2,786.6,787.1,99900,786.89,60
54,2015-11-05 19:54:00,787.1,787.6,786.1,786.4,275000,786.74,151
55,2015-11-05 19:55:00,786.3,786.9,786.2,786.5,119600,786.53,98
56,2015-11-05 19:56:00,786.5,787.0,786.4,786.9,80000,786.71,46
57,2015-11-05 19:57:00,786.9,787.0,786.3,786.6,98800,786.52,48
58,2015-11-05 19:58:00,786.3,786.5,786.1,786.3,159700,786.27,54
59,2015-11-05 19:59:00,786.3,786.6,786.1,786.3,94000,786.34,37
60,2015-11-05 20:00:00,786.2,786.4,785.9,786.0,134200,786.03,53
61,2015-11-05 20:01:00,786.1,786.2,785.5,785.5,94300,785.68,50
62,2015-11-05 20:02:00,785.5,785.7,784.4,784.9,331300,785.01,98
63,2015-11-05 20:03:00,784.9,785.2,784.7,784.8,62700,784.94,54
64,2015-11-05 20:04:00,784.8,784.8,784.4,784.7,105300,784.61,36
65,2015-11-05 20:05:00,784.8,785.4,784.8,785.4,53900,785.17,39
66,2015-11-05 20:06:00,785.4,786.3,785.3,786.2,90200,785.87,58
67,2015-11-05 20:07:00,786.1,786.3,785.6,786.0,39800,785.96,48
68,2015-11-05 20:08:00,785.9,786.2,785.9,785.9,34500,785.99,32
69,2015-11-05 20:09:00,785.8,785.8,785.4,785.6,22700,785.61,27
70,2015-11-05 20:10:00,785.6,786.3,785.6,786.3,45600,786.09,22
71,2015-11-05 20:11:00,786.4,787.0,786.3,786.9,75100,786.66,61
72,2015-11-05 20:12:00,786.9,787.3,786.7,786.9,153200,787.05,47
73,2015-11-05 20:13:00,786.8,787.0,786.5,786.5,91100,786.73,44
74,2015-11-05 20:14:00,786.5,786.8,786.2,786.2,31600,786.49,41
75,2015-11-05 20:15:00,786.3,786.3,785.5,785.5,146000,785.81,168
76,2015-11-05 20:16:00,785.4,786.4,785.4,786.3,43300,785.85,72
77,2015-11-05 20:17:00,786.4,787.1,786.4,786.7,175300,786.85,94
78,2015-11-05 20:18:00,786.8,787.0,786.7,786.8,29600,786.87,43
79,2015-11-05 20:19:00,786.8,786.8,786.1,786.1,41300,786.38,55
80,2015-11-05 20:20:00,786.1,786.1,785.7,785.9,53400,785.94,69
81,2015-11-05 20:21:00,785.9,785.9,785.8,785.9,11100,785.89,15
82,2015-11-05 20:22:00,785.9,785.9,785.6,785.7,53200,785.76,33
83,2015-11-05 20:23:00,785.7,785.7,785.1,785.2,84800,785.37,37
84,2015-11-05 20:24:00,785.2,785.9,785.0,785.9,89000,785.68,61
85,2015-11-05 20:25:00,785.9,786.1,785.8,786.0,35300,785.94,21
