,date,open,high,low,close,volume,average,barCount
0,2015-11-06 09:30:00,8.09,8.1,8.09,8.09,99,8.09,4
1,2015-11-06 09:31:00,8.1,8.12,8.1,8.1,102,8.106,21
2,2015-11-06 09:32:00,8.11,8.12,8.11,8.12,76,8.116,23
3,2015-11-06 09:33:00,8.12,8.12,8.12,8.12,2,8.12,2
4,2015-11-06 09:34:00,8.12,8.12,8.12,8.12,0,8.12,0
5,2015-11-06 09:35:00,8.12,8.12,8.12,8.12,57,8.12,21
6,2015-11-06 09:36:00,8.12,8.13,8.11,8.13,80,8.124,15
7,2015-11-06 09:37:00,8.13,8.13,8.12,8.13,5,8.13,5
8,2015-11-06 09:38:00,8.13,8.13,8.12,8.13,33,8.13,8
9,2015-11-06 09:39:00,8.13,8.14,8.13,8.14,34,8.133,9
10,2015-11-06 09:40:00,8.14,8.14,8.13,8.14,4,8.138,1
11,2015-11-06 09:41:00,8.13,8.14,8.13,8.14,19,8.139,5
12,2015-11-06 09:42:00,8.13,8.14,8.13,8.14,4,8.135,3
13,2015-11-06 09:43:00,8.14,8.14,8.14,8.14,0,8.14,0
14,2015-11-06 09:44:00,8.13,8.14,8.12,8.13,76,8.13,24
15,2015-11-06 09:45:00,8.14,8.14,8.14,8.14,21,8.14,5
16,2015-11-06 09:46:00,8.13,8.13,8.13,8.13,10,8.13,2
17,2015-11-06 09:47:00,8.13,8.14,8.13,8.13,1,8.135,1
18,2015-11-06 09:48:00,8.13,8.13,8.11,8.12,83,8.125,26
19,2015-11-06 09:49:00,8.12,8.12,8.11,8.11,20,8.117,12
20,2015-11-06 09:50:00,8.11,8.11,8.11,8.11,1,8.11,1
21,2015-11-06 09:51:00,8.11,8.11,8.11,8.11,8,8.11,5
22,2015-11-06 09:52:00,8.1,8.1,8.1,8.1,13,8.1,10
23,2015-11-06 09:53:00,8.1,8.1,8.1,8.1,0,8.1,0
24,2015-11-06 09:54:00,8.1,8.1,8.1,8.1,0,8.1,0
25,2015-11-06 09:55:00,8.09,8.1,8.08,8.09,63,8.092,23
26,2015-11-06 09:56:00,8.09,8.09,8.08,8.09,21,8.089,14
27,2015-11-06 09:57:00,8.1,8.1,8.1,8.1,1,8.1,1
28,2015-11-06 09:58:00,8.1,8.1,8.1,8.1,0,8.1,0
29,2015-11-06 09:59:00,8.1,8.1,8.1,8.1,0,8.1,0
30,2015-11-06 10:00:00,8.1,8.1,8.1,8.1,0,8.1,0
31,2015-11-06 10:01:00,8.09,8.09,8.08,8.08,10,8.089,6
32,2015-11-06 10:02:00,8.08,8.08,8.08,8.08,5,8.08,4
33,2015-11-06 10:03:00,8.08,8.08,8.08,8.08,0,8.08,0
34,2015-11-06 10:04:00,8.08,8.09,8.06,8.07,35,8.073,18
35,2015-11-06 10:05:00,8.07,8.07,8.06,8.07,8,8.068,8
36,2015-11-06 10:06:00,8.06,8.06,8.05,8.05,5,8.058,4
37,2015-11-06 10:07:00,8.06,8.06,8.06,8.06,9,8.06,6
38,2015-11-06 10:08:00,8.07,8.07,8.07,8.07,4,8.07,1
39,2015-11-06 10:09:00,8.07,8.07,8.07,8.07,0,8.07,0
40,2015-11-06 10:10:00,8.08,8.09,8.07,8.08,12,8.08,11
41,2015-11-06 10:11:00,8.09,8.09,8.09,8.09,2,8.09,2
42,2015-11-06 10:12:00,8.09,8.09,8.08,8.09,1,8.085,1
43,2015-11-06 10:13:00,8.09,8.09,8.08,8.09,7,8.089,6
44,2015-11-06 10:14:00,8.1,8.11,8.1,8.11,16,8.102,11
45,2015-11-06 10:15:00,8.11,8.11,8.11,8.11,0,8.11,0
46,2015-11-06 10:16:00,8.1,8.11,8.09,8.1,61,8.099,25
47,2015-11-06 10:17:00,8.09,8.1,8.09,8.09,6,8.092,6
48,2015-11-06 10:18:00,8.1,8.1,8.09,8.1,4,8.098,4
