,date,open,high,low,close,volume,average,barCount
0,2015-02-03 19:00:00,3977.0,3980.0,3958.0,3963.0,726600,3975.73,238
1,2015-02-03 19:01:00,3961.5,3975.5,3961.0,3973.0,25500,3968.02,72
2,2015-02-03 19:02:00,3973.0,3974.0,3966.0,3970.5,49800,3970.05,100
3,2015-02-03 19:03:00,3971.0,3974.0,3969.5,3973.0,29900,3971.74,88
4,2015-02-03 19:04:00,3972.5,3973.0,3968.0,3969.0,20900,3970.14,57
5,2015-02-03 19:05:00,3970.5,3975.0,3968.0,3975.0,47300,3971.42,69
6,2015-02-03 19:06:00,3975.0,3986.0,3975.0,3985.5,106300,3981.01,111
7,2015-02-03 19:07:00,3985.5,3993.0,3983.5,3993.0,103100,3988.36,183
8,2015-02-03 19:08:00,3993.0,3995.0,3989.0,3992.5,98500,3992.12,222
9,2015-02-03 19:09:00,3992.5,3998.0,3992.5,3997.0,104300,3996.08,116
10,2015-02-03 19:10:00,3996.5,3999.5,3993.0,3993.0,142600,3997.85,115
11,2015-02-03 19:11:00,3993.0,3994.0,3985.0,3986.5,44300,3988.82,86
12,2015-02-03 19:12:00,3987.5,3989.0,3985.5,3987.0,31300,3987.01,80
13,2015-02-03 19:13:00,3987.0,3988.0,3982.0,3982.0,19500,3985.05,63
14,2015-02-03 19:14:00,3981.5,3988.0,3980.0,3988.0,15700,3984.67,50
15,2015-02-03 19:15:00,3986.5,3986.5,3980.0,3984.0,26300,3982.88,60
16,2015-02-03 19:16:00,3984.5,3985.0,3981.5,3983.5,10900,3983.17,31
17,2015-02-03 19:17:00,3983.0,3985.0,3982.0,3984.0,9200,3984.01,22
18,2015-02-03 19:18:00,3984.0,3992.0,3984.0,3990.5,27700,3987.63,62
19,2015-02-03 19:19:00,3990.0,3990.0,3985.0,3986.0,18000,3988.02,34
20,2015-02-03 19:20:00,3986.0,3986.5,3982.5,3984.0,17400,3984.21,40
21,2015-02-03 19:21:00,3984.0,3989.0,3984.0,3987.0,41500,3986.0,56
22,2015-02-03 19:22:00,3987.5,3995.0,3987.5,3995.0,40900,3991.06,55
23,2015-02-03 19:23:00,3993.5,4002.0,3992.5,3994.5,217200,3998.47,171
24,2015-02-03 19:24:00,3995.5,3997.0,3988.5,3989.5,31200,3993.01,75
25,2015-02-03 19:25:00,3989.0,3995.0,3988.5,3992.0,64500,3991.13,120
26,2015-02-03 19:26:00,3993.0,3996.0,3993.0,3994.5,19300,3994.48,30
27,2015-02-03 19:27:00,3994.0,4000.0,3994.0,4000.0,38400,3997.72,71
28,2015-02-03 19:28:00,3999.5,4000.0,3997.0,3999.0,126900,3999.42,114
29,2015-02-03 19:29:00,3999.5,4000.0,3998.0,3998.5,28300,3998.74,49
30,2015-02-03 19:30:00,3998.5,4000.5,3998.5,4000.0,94500,3999.9,65
31,2015-02-03 19:31:00,4000.0,4004.5,3999.5,4004.5,87800,4001.67,80
32,2015-02-03 19:32:00,4004.5,4010.0,4004.0,4007.5,93900,4007.34,84
33,2015-02-03 19:33:00,4008.0,4010.0,4006.5,4010.0,48800,4008.75,69
34,2015-02-03 19:34:00,4009.5,4013.5,4009.0,4010.5,77100,4011.44,97
35,2015-02-03 19:35:00,4011.0,4016.5,4010.0,4014.0,73100,4013.55,125
36,2015-02-03 19:36:00,4014.0,4021.0,4010.0,4018.0,123800,4016.46,143
37,2015-02-03 19:37:00,4019.0,4022.0,4015.0,4018.5,94300,4019.57,154
38,2015-02-03 19:38:00,4019.5,4021.0,4013.5,4016.5,66800,4017.36,127
39,2015-02-03 19:39:00,4017.0,4020.0,4015.0,4017.5,61500,4018.4,109
40,2015-02-03 19:40:00,4018.0,4018.0,4010.0,4012.5,22600,4013.9,65
41,2015-02-03 19:41:00,4012.0,4015.5,4009.5,4014.0,29600,4011.84,81
42,2015-02-03 19:42:00,4014.0,4024.0,4014.0,4022.5,125000,4020.75,103
43,2015-02-03 19:43:00,4024.0,4025.0,4018.0,4018.0,50900,4023.35,70
44,2015-02-03 19:44:00,4018.0,4021.0,4018.0,4021.0,21500,4019.73,53
45,2015-02-03 19:45:00,4021.0,4023.5,4019.0,4019.5,22500,4021.48,59
46,2015-02-03 19:46:00,4020.0,4021.0,4018.5,4020.5,13000,4020.08,39
47,2015-02-03 19:47:00,4021.0,4021.0,4017.5,4019.5,25500,4019.51,70
