,date,open,high,low,close,volume,average,barCount
0,2015-04-10,3635.0,3700.0,3596.0,3677.5,17010900,3654.005,27593
1,2015-04-13,3677.0,3735.5,3636.0,3670.0,12254400,3685.825,20598
2,2015-04-14,3658.0,3750.0,3628.0,3750.0,10066700,3716.485,18152
3,2015-04-15,3726.0,3787.5,3720.0,3779.5,10020900,3761.595,17065
4,2015-04-16,3795.0,3827.5,3674.0,3692.0,13938400,3736.815,24214
5,2015-04-17,3645.0,3648.5,3547.5,3555.5,12828400,3574.215,23891
6,2015-04-20,3550.0,3651.5,3530.0,3616.0,10878100,3605.41,21491
7,2015-04-21,3630.0,3688.0,3593.0,3680.5,9092700,3649.09,16387
8,2015-04-22,3676.5,3744.5,3653.0,3675.5,9062600,3694.99,22546
9,2015-04-23,3800.0,3800.0,3581.0,3616.0,19357200,3692.75,33810
10,2015-04-24,3677.5,3779.0,3634.0,3739.0,15930500,3713.02,29727
11,2015-04-27,3715.0,3744.5,3637.5,3729.0,10427200,3690.39,19965
12,2015-04-28,3729.0,3731.5,3668.5,3691.0,6795700,3696.28,13824
13,2015-04-30,3658.5,3714.5,3621.0,3644.5,8922100,3666.77,18646
14,2015-05-01,3608.0,3636.5,3550.5,3628.5,8645400,3588.87,18963
15,2015-05-07,3609.5,3615.0,3490.0,3609.5,11603000,3561.455,23723
16,2015-05-08,3609.0,3656.5,3585.0,3623.0,6645300,3625.455,13970
17,2015-05-11,3666.0,3746.0,3655.0,3727.0,8567100,3707.825,15438
18,2015-05-12,3777.0,3843.0,3730.0,3833.0,15048800,3798.115,24742
19,2015-05-13,3785.0,3914.5,3756.0,3881.0,14552900,3842.975,25041
20,2015-05-14,3837.5,3888.0,3809.0,3816.0,10008200,3841.07,20860
21,2015-05-15,3850.5,3896.0,3845.0,3892.0,7640100,3879.88,15653
22,2015-05-18,3914.0,3934.0,3875.5,3900.0,7637800,3903.01,16040
23,2015-05-19,3912.0,3970.0,3883.0,3957.0,8777300,3935.51,15159
24,2015-05-20,3957.0,3970.0,3896.5,3906.5,8401700,3925.235,15576
