,date,open,high,low,close,volume,average,barCount
0,2015-08-17 20:00:00,6550.0,6568.0,6539.0,6567.0,182800,6552.03,112
1,2015-08-17 20:01:00,6568.0,6573.0,6567.0,6569.0,25500,6569.47,48
2,2015-08-17 20:02:00,6572.0,6573.0,6566.0,6566.0,7100,6568.82,29
3,2015-08-17 20:03:00,6565.0,6570.0,6560.0,6570.0,6200,6565.74,20
4,2015-08-17 20:04:00,6570.0,6571.0,6555.0,6555.0,9700,6564.88,26
5,2015-08-17 20:05:00,6553.0,6556.0,6541.0,6553.0,7100,6548.41,38
6,2015-08-17 20:06:00,6560.0,6569.0,6560.0,6568.0,12100,6564.31,36
7,2015-08-17 20:07:00,6567.0,6568.0,6560.0,6561.0,2700,6564.81,7
8,2015-08-17 20:08:00,6561.0,6561.0,6552.0,6553.0,4200,6557.26,17
9,2015-08-17 20:09:00,6552.0,6553.0,6548.0,6551.0,11800,6550.03,48
10,2015-08-17 20:10:00,6553.0,6566.0,6553.0,6564.0,10300,6561.5,44
11,2015-08-17 20:11:00,6563.0,6566.0,6561.0,6564.0,7800,6563.82,22
12,2015-08-17 20:12:00,6565.0,6567.0,6562.0,6562.0,7800,6566.17,28
13,2015-08-17 20:13:00,6563.0,6563.0,6561.0,6563.0,3400,6561.94,14
14,2015-08-17 20:14:00,6563.0,6568.0,6558.0,6563.0,9000,6562.48,32
15,2015-08-17 20:15:00,6565.0,6569.0,6563.0,6568.0,4400,6566.73,14
16,2015-08-17 20:16:00,6569.0,6577.0,6569.0,6576.0,46900,6572.66,45
17,2015-08-17 20:17:00,6574.0,6577.0,6573.0,6573.0,4500,6575.91,13
18,2015-08-17 20:18:00,6573.0,6576.0,6572.0,6575.0,4400,6574.07,20
19,2015-08-17 20:19:00,6575.0,6575.0,6572.0,6573.0,3200,6574.28,16
20,2015-08-17 20:20:00,6572.0,6578.0,6572.0,6575.0,13700,6576.55,30
21,2015-08-17 20:21:00,6577.0,6579.0,6573.0,6578.0,4400,6577.18,23
22,2015-08-17 20:22:00,6577.0,6577.0,6569.0,6571.0,6200,6571.77,25
23,2015-08-17 20:23:00,6574.0,6576.0,6572.0,6572.0,4500,6574.71,26
24,2015-08-17 20:24:00,6572.0,6578.0,6571.0,6576.0,5900,6575.15,23
25,2015-08-17 20:25:00,6578.0,6578.0,6575.0,6575.0,2500,6576.96,15
26,2015-08-17 20:26:00,6576.0,6577.0,6574.0,6576.0,3200,6575.06,13
27,2015-08-17 20:27:00,6576.0,6577.0,6574.0,6576.0,5600,6575.59,30
28,2015-08-17 20:28:00,6573.0,6576.0,6573.0,6576.0,4600,6574.5,17
29,2015-08-17 20:29:00,6576.0,6577.0,6575.0,6577.0,2900,6576.34,15
30,2015-08-17 20:30:00,6578.0,6580.0,6576.0,6577.0,18800,6578.37,30
31,2015-08-17 20:31:00,6576.0,6577.0,6575.0,6575.0,1700,6576.18,9
32,2015-08-17 20:32:00,6578.0,6578.0,6576.0,6577.0,600,6576.83,4
33,2015-08-17 20:33:00,6577.0,6578.0,6574.0,6578.0,4500,6576.36,17
34,2015-08-17 20:34:00,6577.0,6577.0,6575.0,6577.0,6000,6576.87,18
35,2015-08-17 20:35:00,6577.0,6578.0,6575.0,6577.0,6400,6577.22,19
36,2015-08-17 20:36:00,6577.0,6583.0,6577.0,6583.0,48500,6579.99,53
37,2015-08-17 20:37:00,6583.0,6583.0,6579.0,6579.0,12400,6580.03,19
38,2015-08-17 20:38:00,6580.0,6583.0,6578.0,6578.0,5800,6580.0,10
39,2015-08-17 20:39:00,6580.0,6580.0,6575.0,6577.0,3300,6576.67,13
40,2015-08-17 20:40:00,6577.0,6580.0,6576.0,6579.0,3800,6578.42,17
41,2015-08-17 20:41:00,6580.0,6582.0,6578.0,6580.0,8400,6580.08,17
42,2015-08-17 20:42:00,6580.0,6581.0,6576.0,6576.0,3300,6577.48,12
43,2015-08-17 20:43:00,6574.0,6577.0,6573.0,6577.0,3200,6575.09,19
