,date,open,high,low,close,volume,average,barCount
0,2015-03-13 09:30:00,136.11,136.11,136.11,136.11,0,136.11,0
1,2015-03-13 09:31:00,136.11,136.11,136.11,136.11,0,136.11,0
2,2015-03-13 09:32:00,136.11,136.11,136.11,136.11,0,136.11,0
3,2015-03-13 09:33:00,135.86,135.96,135.77,135.88,107,135.867,20
4,2015-03-13 09:34:00,135.88,135.98,135.88,135.97,15,135.952,11
5,2015-03-13 09:35:00,135.94,135.97,135.93,135.97,4,135.948,4
6,2015-03-13 09:36:00,135.94,135.94,135.84,135.86,10,135.897,9
7,2015-03-13 09:37:00,135.9,135.94,135.87,135.89,23,135.9,22
8,2015-03-13 09:38:00,135.91,135.93,135.88,135.89,41,135.914,39
9,2015-03-13 09:39:00,135.93,135.96,135.93,135.96,4,135.953,4
10,2015-03-13 09:40:00,135.91,135.94,135.85,135.85,15,135.901,15
11,2015-03-13 09:41:00,135.82,135.89,135.82,135.89,8,135.834,7
12,2015-03-13 09:42:00,135.9,135.97,135.9,135.97,3,135.94,3
13,2015-03-13 09:43:00,135.93,135.93,135.93,135.93,1,135.93,1
14,2015-03-13 09:44:00,135.99,135.99,135.98,135.98,3,135.983,3
15,2015-03-13 09:45:00,135.99,135.99,135.98,135.99,1,135.99,1
16,2015-03-13 09:46:00,135.99,135.99,135.99,135.99,0,135.99,0
17,2015-03-13 09:47:00,135.94,136.01,135.94,135.98,37,135.983,33
18,2015-03-13 09:48:00,135.99,136.0,135.99,135.99,8,135.993,7
19,2015-03-13 09:49:00,136.01,136.04,135.99,136.04,24,136.022,23
20,2015-03-13 09:50:00,136.04,136.04,136.03,136.03,8,136.039,7
21,2015-03-13 09:51:00,136.02,136.02,136.02,136.02,2,136.02,2
22,2015-03-13 09:52:00,136.03,136.04,136.03,136.03,2,136.035,1
23,2015-03-13 09:53:00,136.03,136.03,135.97,136.02,24,136.005,21
24,2015-03-13 09:54:00,135.99,135.99,135.99,135.99,1,135.99,1
25,2015-03-13 09:55:00,135.96,135.97,135.96,135.97,3,135.963,3
26,2015-03-13 09:56:00,136.0,136.0,135.91,135.91,5,135.964,5
27,2015-03-13 09:57:00,135.92,135.92,135.92,135.92,1,135.92,1
28,2015-03-13 09:58:00,135.9,135.94,135.9,135.94,9,135.931,9
29,2015-03-13 09:59:00,135.94,135.94,135.94,135.94,0,135.94,0
30,2015-03-13 10:00:00,135.89,135.92,135.89,135.91,8,135.909,5
31,2015-03-13 10:01:00,135.91,135.91,135.91,135.91,1,135.91,1
32,2015-03-13 10:02:00,135.91,135.91,135.91,135.91,0,135.91,0
33,2015-03-13 10:03:00,135.85,135.85,135.85,135.85,1,135.85,1
34,2015-03-13 10:04:00,135.86,135.86,135.76,135.76,11,135.82,11
35,2015-03-13 10:05:00,135.75,135.75,135.75,135.75,4,135.75,4
36,2015-03-13 10:06:00,135.74,135.82,135.74,135.79,9,135.796,8
37,2015-03-13 10:07:00,135.76,135.81,135.76,135.79,6,135.783,5
38,2015-03-13 10:08:00,135.78,135.8,135.74,135.79,20,135.778,20
39,2015-03-13 10:09:00,135.79,135.79,135.78,135.78,6,135.782,6
40,2015-03-13 10:10:00,135.7,135.74,135.7,135.74,5,135.728,4
41,2015-03-13 10:11:00,135.73,135.73,135.73,135.73,12,135.73,11
42,2015-03-13 10:12:00,135.74,135.76,135.72,135.72,45,135.744,44
43,2015-03-13 10:13:00,135.71,135.71,135.71,135.71,2,135.71,2
44,2015-03-13 10:14:00,135.74,135.74,135.72,135.72,10,135.724,9
45,2015-03-13 10:15:00,135.71,135.72,135.71,135.72,11,135.716,11
46,2015-03-13 10:16:00,135.73,135.77,135.73,135.77,8,135.749,8
47,2015-03-13 10:17:00,135.77,135.78,135.75,135.75,9,135.767,7
48,2015-03-13 10:18:00,135.79,135.79,135.79,135.79,3,135.79,2
49,2015-03-13 10:19:00,135.83,135.83,135.83,135.83,1,135.83,1
50,2015-03-13 10:20:00,135.83,135.83,135.83,135.83,0,135.83,0
51,2015-03-13 10:21:00,135.84,135.84,135.81,135.83,14,135.836,11
52,2015-03-13 10:22:00,135.83,135.83,135.81,135.81,3,135.82,3
53,2015-03-13 10:23:00,135.79,135.8,135.76,135.76,5,135.784,5
54,2015-03-13 10:24:00,135.75,135.77,135.75,135.77,4,135.76,4
55,2015-03-13 10:25:00,135.8,135.8,135.76,135.76,6,135.783,4
56,2015-03-13 10:26:00,135.76,135.76,135.76,135.76,0,135.76,0
57,2015-03-13 10:27:00,135.73,135.73,135.69,135.71,25,135.713,24
58,2015-03-13 10:28:00,135.72,135.72,135.72,135.72,2,135.72,2
59,2015-03-13 10:29:00,135.74,135.74,135.74,135.74,3,135.74,2
60,2015-03-13 10:30:00,135.74,135.74,135.69,135.69,7,135.72,7
61,2015-03-13 10:31:00,135.73,135.73,135.73,135.73,2,135.73,2
62,2015-03-13 10:32:00,135.74,135.74,135.74,135.74,1,135.74,1
63,2015-03-13 10:33:00,135.73,135.73,135.73,135.73,1,135.73,1
