,date,open,high,low,close,volume,average,barCount
0,2015-08-17 20:00:00,7920.0,7941.0,7920.0,7930.0,302400,7922.57,188
1,2015-08-17 20:01:00,7930.0,7937.0,7927.0,7935.0,19400,7932.28,73
2,2015-08-17 20:02:00,7934.0,7934.0,7924.0,7925.0,21500,7928.41,61
3,2015-08-17 20:03:00,7927.0,7930.0,7921.0,7922.0,31800,7923.91,57
4,2015-08-17 20:04:00,7922.0,7924.0,7917.0,7922.0,48900,7919.99,56
5,2015-08-17 20:05:00,7922.0,7930.0,7919.0,7930.0,25600,7923.14,59
6,2015-08-17 20:06:00,7929.0,7934.0,7925.0,7927.0,50400,7929.96,100
7,2015-08-17 20:07:00,7927.0,7927.0,7922.0,7922.0,15900,7924.42,45
8,2015-08-17 20:08:00,7924.0,7925.0,7921.0,7921.0,10300,7923.96,26
9,2015-08-17 20:09:00,7924.0,7933.0,7922.0,7930.0,24000,7929.24,45
10,2015-08-17 20:10:00,7933.0,7933.0,7925.0,7925.0,24100,7929.55,54
11,2015-08-17 20:11:00,7928.0,7928.0,7924.0,7924.0,10700,7925.43,29
12,2015-08-17 20:12:00,7924.0,7928.0,7924.0,7928.0,3400,7926.5,11
13,2015-08-17 20:13:00,7927.0,7929.0,7923.0,7925.0,13200,7925.47,25
14,2015-08-17 20:14:00,7923.0,7927.0,7922.0,7924.0,15600,7923.81,22
15,2015-08-17 20:15:00,7925.0,7927.0,7924.0,7927.0,7100,7925.21,20
16,2015-08-17 20:16:00,7927.0,7928.0,7924.0,7924.0,12700,7925.96,28
17,2015-08-17 20:17:00,7925.0,7928.0,7924.0,7926.0,10700,7925.86,36
18,2015-08-17 20:18:00,7926.0,7929.0,7925.0,7927.0,12900,7927.19,37
19,2015-08-17 20:19:00,7929.0,7930.0,7928.0,7928.0,3000,7928.77,9
20,2015-08-17 20:20:00,7930.0,7931.0,7927.0,7928.0,13500,7928.59,33
21,2015-08-17 20:21:00,7929.0,7932.0,7926.0,7929.0,11200,7929.49,40
22,2015-08-17 20:22:00,7930.0,7932.0,7928.0,7929.0,9400,7930.23,30
23,2015-08-17 20:23:00,7930.0,7931.0,7925.0,7925.0,19600,7927.92,46
24,2015-08-17 20:24:00,7927.0,7933.0,7925.0,7933.0,7900,7929.1,26
25,2015-08-17 20:25:00,7933.0,7933.0,7930.0,7931.0,12500,7932.1,27
26,2015-08-17 20:26:00,7930.0,7932.0,7929.0,7930.0,4000,7929.83,14
27,2015-08-17 20:27:00,7929.0,7937.0,7929.0,7937.0,15600,7933.54,22
28,2015-08-17 20:28:00,7937.0,7940.0,7936.0,7938.0,25300,7938.24,51
29,2015-08-17 20:29:00,7938.0,7945.0,7938.0,7939.0,28900,7941.55,50
30,2015-08-17 20:30:00,7941.0,7942.0,7935.0,7936.0,8300,7938.05,32
31,2015-08-17 20:31:00,7937.0,7939.0,7935.0,7938.0,9400,7937.24,22
32,2015-08-17 20:32:00,7937.0,7938.0,7935.0,7935.0,6300,7936.27,30
33,2015-08-17 20:33:00,7935.0,7942.0,7933.0,7942.0,12200,7936.62,32
34,2015-08-17 20:34:00,7942.0,7943.0,7937.0,7940.0,18300,7939.81,52
35,2015-08-17 20:35:00,7939.0,7939.0,7933.0,7935.0,5600,7936.43,27
36,2015-08-17 20:36:00,7937.0,7940.0,7935.0,7937.0,14700,7937.77,29
37,2015-08-17 20:37:00,7937.0,7940.0,7936.0,7938.0,6800,7938.99,31
38,2015-08-17 20:38:00,7938.0,7943.0,7937.0,7940.0,16400,7940.78,40
39,2015-08-17 20:39:00,7939.0,7939.0,7937.0,7939.0,2900,7938.21,16
40,2015-08-17 20:40:00,7939.0,7940.0,7936.0,7936.0,10100,7938.28,21
41,2015-08-17 20:41:00,7937.0,7939.0,7935.0,7936.0,5500,7936.25,20
42,2015-08-17 20:42:00,7937.0,7937.0,7935.0,7937.0,5000,7936.1,22
