Australia ATHE_ATH Variant1, Return: -3.1%, Hit Ratio: 20.0%, Max Drawdown: 3.13%
Australia ATHE_ATH Variant2, Return: -1.06%, Hit Ratio: 36.0%, Max Drawdown: 1.8%
Australia ATHE_ATH Variant3a, Return: -1.2%, Hit Ratio: 31.03%, Max Drawdown: 1.73%
Australia ATHE_ATH Variant3b, Return: -1.85%, Hit Ratio: 19.23%, Max Drawdown: 2.09%
Australia GENE_GTG Variant1, Return: -2.52%, Hit Ratio: 25.0%, Max Drawdown: 2.7%
Australia GENE_GTG Variant2, Return: -1.67%, Hit Ratio: 34.62%, Max Drawdown: 2.29%
Australia GENE_GTG Variant3a, Return: -0.7%, Hit Ratio: 44.44%, Max Drawdown: 1.61%
Australia GENE_GTG Variant3b, Return: -2.92%, Hit Ratio: 29.03%, Max Drawdown: 3.21%
Australia IMMP_IMM Variant1, Return: -1.47%, Hit Ratio: 30.43%, Max Drawdown: 1.82%
Australia IMMP_IMM Variant2, Return: -1.63%, Hit Ratio: 35.71%, Max Drawdown: 2.17%
Australia IMMP_IMM Variant3a, Return: -1.15%, Hit Ratio: 47.62%, Max Drawdown: 2.19%
Australia IMMP_IMM Variant3b, Return: -0.91%, Hit Ratio: 58.82%, Max Drawdown: 1.93%
Australia IMRN_IMC Variant1, Return: -1.0%, Hit Ratio: 30.0%, Max Drawdown: 1.35%
Australia IMRN_IMC Variant2, Return: -1.05%, Hit Ratio: 32.0%, Max Drawdown: 1.7%
Australia IMRN_IMC Variant3a, Return: -1.68%, Hit Ratio: 43.24%, Max Drawdown: 2.04%
Australia IMRN_IMC Variant3b, Return: -2.34%, Hit Ratio: 29.03%, Max Drawdown: 2.7%
Australia JHX_JHX Variant1, Return: -0.42%, Hit Ratio: 33.33%, Max Drawdown: 0.56%
Australia JHX_JHX Variant2, Return: 0.23%, Hit Ratio: 100.0%, Max Drawdown: 0.18%
Australia JHX_JHX Variant3a, Return: -0.08%, Hit Ratio: 66.67%, Max Drawdown: 0.71%
Australia JHX_JHX Variant3b, Return: -2.25%, Hit Ratio: 27.59%, Max Drawdown: 2.57%
Australia KZIA_KZA Variant1, Return: -2.6%, Hit Ratio: 20.0%, Max Drawdown: 2.78%
Australia KZIA_KZA Variant2, Return: -0.35%, Hit Ratio: 53.85%, Max Drawdown: 1.58%
