Australia ATHE_ATH Variant1, Return: 0.06%, Hit Ratio: 78.95%, Max Drawdown: 0.03%
Australia ATHE_ATH Variant2, Return: 0.04%, Hit Ratio: 83.33%, Max Drawdown: 0.02%
Australia ATHE_ATH Variant3a, Return: 0.04%, Hit Ratio: 81.25%, Max Drawdown: 0.03%
Australia ATHE_ATH Variant3b, Return: 0.0%, Hit Ratio: 71.43%, Max Drawdown: 0.03%
Australia GENE_GTG Variant1, Return: 0.18%, Hit Ratio: 81.25%, Max Drawdown: 0.02%
Australia GENE_GTG Variant2, Return: 0.1%, Hit Ratio: 68.75%, Max Drawdown: 0.02%
Australia GENE_GTG Variant3a, Return: 0.17%, Hit Ratio: 75.0%, Max Drawdown: 0.04%
Australia GENE_GTG Variant3b, Return: 0.19%, Hit Ratio: 84.62%, Max Drawdown: 0.04%
Australia IMMP_IMM Variant1, Return: -0.0%, Hit Ratio: 0.0%, Max Drawdown: 0.0%
Australia IMMP_IMM Variant2, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Australia IMMP_IMM Variant3a, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Australia IMMP_IMM Variant3b, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Australia IMRN_IMC Variant1, Return: -0.0%, Hit Ratio: 44.44%, Max Drawdown: 0.01%
Australia IMRN_IMC Variant2, Return: 0.03%, Hit Ratio: 62.5%, Max Drawdown: 0.02%
Australia IMRN_IMC Variant3a, Return: 0.03%, Hit Ratio: 69.23%, Max Drawdown: 0.01%
Australia IMRN_IMC Variant3b, Return: 0.05%, Hit Ratio: 63.16%, Max Drawdown: 0.01%
Australia JHX_JHX Variant1, Return: -0.01%, Hit Ratio: 28.57%, Max Drawdown: 0.02%
Australia JHX_JHX Variant2, Return: 0.01%, Hit Ratio: 35.71%, Max Drawdown: 0.01%
Australia JHX_JHX Variant3a, Return: -0.01%, Hit Ratio: 32.43%, Max Drawdown: 0.02%
Australia JHX_JHX Variant3b, Return: -0.02%, Hit Ratio: 37.93%, Max Drawdown: 0.03%
Australia KZIA_KZA Variant1, Return: 0.05%, Hit Ratio: 82.35%, Max Drawdown: 0.01%
Australia KZIA_KZA Variant2, Return: 0.0%, Hit Ratio: 100.0%, Max Drawdown: 0.0%
Australia KZIA_KZA Variant3a, Return: 0.05%, Hit Ratio: 86.67%, Max Drawdown: 0.01%
Australia KZIA_KZA Variant3b, Return: 0.06%, Hit Ratio: 87.5%, Max Drawdown: 0.01%
Australia MESO_MSB Variant1, Return: 0.03%, Hit Ratio: 75.0%, Max Drawdown: 0.02%
Australia MESO_MSB Variant2, Return: 0.15%, Hit Ratio: 80.0%, Max Drawdown: 0.02%
Australia MESO_MSB Variant3a, Return: 0.11%, Hit Ratio: 78.26%, Max Drawdown: 0.04%
Australia MESO_MSB Variant3b, Return: 0.16%, Hit Ratio: 83.33%, Max Drawdown: 0.02%
Australia PLL_PLL Variant1, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Australia PLL_PLL Variant2, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Australia PLL_PLL Variant3a, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Australia PLL_PLL Variant3b, Return: 0.0%, Hit Ratio: 0%, Max Drawdown: 0%
Australia WBK_WBC Variant1, Return: 0.1%, Hit Ratio: 66.67%, Max Drawdown: 0.13%
Australia WBK_WBC Variant2, Return: -0.37%, Hit Ratio: 52.94%, Max Drawdown: 0.52%
Australia WBK_WBC Variant3a, Return: -0.03%, Hit Ratio: 30.0%, Max Drawdown: 0.21%
Australia WBK_WBC Variant3b, Return: -0.2%, Hit Ratio: 42.11%, Max Drawdown: 0.38%
China ACH_2600 Variant1, Return: 0.2%, Hit Ratio: 62.5%, Max Drawdown: 0.07%
China ACH_2600 Variant2, Return: 0.1%, Hit Ratio: 60.0%, Max Drawdown: 0.05%
China ACH_2600 Variant3a, Return: 0.15%, Hit Ratio: 63.64%, Max Drawdown: 0.09%
China ACH_2600 Variant3b, Return: 0.11%, Hit Ratio: 51.35%, Max Drawdown: 0.1%
China BGNE_6160 Variant1, Return: 0%, Hit Ratio: 0%, Max Drawdown: 0%
China BGNE_6160 Variant2, Return: 0%, Hit Ratio: 0%, Max Drawdown: 0%
China BGNE_6160 Variant3a, Return: 0%, Hit Ratio: 0%, Max Drawdown: 0%
China BGNE_6160 Variant3b, Return: 0%, Hit Ratio: 0%, Max Drawdown: 0%
China CEA_670 Variant1, Return: 0.05%, Hit Ratio: 55.0%, Max Drawdown: 0.11%
China CEA_670 Variant2, Return: 0.05%, Hit Ratio: 68.97%, Max Drawdown: 0.05%
China CEA_670 Variant3a, Return: 0.02%, Hit Ratio: 66.67%, Max Drawdown: 0.09%
China CEA_670 Variant3b, Return: -0.16%, Hit Ratio: 54.29%, Max Drawdown: 0.22%
China HNP_902 Variant1, Return: -0.02%, Hit Ratio: 29.41%, Max Drawdown: 0.18%
China HNP_902 Variant2, Return: -0.01%, Hit Ratio: 42.86%, Max Drawdown: 0.06%
China HNP_902 Variant3a, Return: 0.03%, Hit Ratio: 39.13%, Max Drawdown: 0.13%
China HNP_902 Variant3b, Return: -0.09%, Hit Ratio: 37.93%, Max Drawdown: 0.14%
China LFC_2628 Variant1, Return: 0.34%, Hit Ratio: 66.67%, Max Drawdown: 0.18%
China LFC_2628 Variant2, Return: -1.2%, Hit Ratio: 33.33%, Max Drawdown: 1.41%
China LFC_2628 Variant3a, Return: -0.28%, Hit Ratio: 46.67%, Max Drawdown: 0.37%
China LFC_2628 Variant3b, Return: -0.35%, Hit Ratio: 37.5%, Max Drawdown: 0.74%
China PTR_857 Variant1, Return: -0.41%, Hit Ratio: 50.0%, Max Drawdown: 0.44%
China PTR_857 Variant2, Return: 0.01%, Hit Ratio: 100.0%, Max Drawdown: 0.02%
China PTR_857 Variant3a, Return: 0.23%, Hit Ratio: 75.0%, Max Drawdown: 0.08%
China PTR_857 Variant3b, Return: -0.2%, Hit Ratio: 66.67%, Max Drawdown: 0.22%
China SHI_338 Variant1, Return: 0.1%, Hit Ratio: 63.64%, Max Drawdown: 0.05%
China SHI_338 Variant2, Return: -0.16%, Hit Ratio: 50.0%, Max Drawdown: 0.2%
