Returns: 55.55%, Trading Limits: (4, 1, 3), Allocation: (0.3, 0.45, 0.25)
Returns: 55.37%, Trading Limits: (4, 1, 3), Allocation: (0.35, 0.4, 0.25)
Returns: 55.36%, Trading Limits: (4, 1, 3), Allocation: (0.3, 0.4, 0.3)
Returns: 55.32%, Trading Limits: (4, 1, 3), Allocation: (0.25, 0.45, 0.3)
Returns: 55.24%, Trading Limits: (4, 1, 3), Allocation: (0.25, 0.4, 0.35)
Returns: 54.89%, Trading Limits: (4, 1, 3), Allocation: (0.4, 0.35, 0.25)
Returns: 54.85%, Trading Limits: (4, 1, 3), Allocation: (0.35, 0.35, 0.3)
Returns: 54.76%, Trading Limits: (4, 1, 3), Allocation: (0.3, 0.35, 0.35)
Returns: 54.75%, Trading Limits: (4, 1, 3), Allocation: (0.25, 0.5, 0.25)
Returns: 54.74%, Trading Limits: (4, 1, 3), Allocation: (0.25, 0.35, 0.4)
Returns: 53.65%, Trading Limits: (4, 1, 3), Allocation: (0.45, 0.3, 0.25)
Returns: 53.61%, Trading Limits: (4, 1, 3), Allocation: (0.4, 0.3, 0.3)
Returns: 53.47%, Trading Limits: (4, 1, 3), Allocation: (0.25, 0.3, 0.45)
Returns: 53.47%, Trading Limits: (4, 1, 3), Allocation: (0.35, 0.3, 0.35)
Returns: 53.4%, Trading Limits: (4, 1, 3), Allocation: (0.3, 0.3, 0.4)
Returns: 51.89%, Trading Limits: (4, 1, 3), Allocation: (0.25, 0.25, 0.5)
Returns: 51.8%, Trading Limits: (4, 1, 3), Allocation: (0.3, 0.25, 0.45)
Returns: 51.63%, Trading Limits: (4, 1, 3), Allocation: (0.4, 0.25, 0.35)
Returns: 51.62%, Trading Limits: (4, 1, 3), Allocation: (0.35, 0.25, 0.4)
Returns: 51.62%, Trading Limits: (4, 1, 3), Allocation: (0.45, 0.25, 0.3)
Returns: 51.51%, Trading Limits: (4, 1, 3), Allocation: (0.5, 0.25, 0.25)
