,Date,rates_US
0,2015-12-17,0.25
1,2015-12-18,0.25
2,2015-12-19,0.25
3,2015-12-20,0.25
4,2015-12-21,0.25
5,2015-12-22,0.25
6,2015-12-23,0.25
7,2015-12-24,0.25
8,2015-12-25,0.25
9,2015-12-26,0.25
10,2015-12-27,0.25
11,2015-12-28,0.25
12,2015-12-29,0.25
13,2015-12-30,0.25
14,2015-12-31,0.25
15,2016-01-01,0.25
16,2016-01-02,0.25
17,2016-01-03,0.25
18,2016-01-04,0.25
19,2016-01-05,0.25
20,2016-01-06,0.25
21,2016-01-07,0.25
22,2016-01-08,0.25
23,2016-01-09,0.25
24,2016-01-10,0.25
25,2016-01-11,0.25
26,2016-01-12,0.25
27,2016-01-13,0.25
28,2016-01-14,0.25
29,2016-01-15,0.25
30,2016-01-16,0.25
31,2016-01-17,0.25
32,2016-01-18,0.25
33,2016-01-19,0.25
34,2016-01-20,0.25
35,2016-01-21,0.25
36,2016-01-22,0.25
37,2016-01-23,0.25
38,2016-01-24,0.25
39,2016-01-25,0.25
40,2016-01-26,0.25
41,2016-01-27,0.25
42,2016-01-28,0.25
43,2016-01-29,0.25
44,2016-01-30,0.25
45,2016-01-31,0.25
46,2016-02-01,0.25
47,2016-02-02,0.25
48,2016-02-03,0.25
49,2016-02-04,0.25
50,2016-02-05,0.25
51,2016-02-06,0.25
52,2016-02-07,0.25
53,2016-02-08,0.25
54,2016-02-09,0.25
55,2016-02-10,0.25
56,2016-02-11,0.25
57,2016-02-12,0.25
58,2016-02-13,0.25
59,2016-02-14,0.25
60,2016-02-15,0.25
61,2016-02-16,0.25
62,2016-02-17,0.25
63,2016-02-18,0.25
64,2016-02-19,0.25
65,2016-02-20,0.25
66,2016-02-21,0.25
67,2016-02-22,0.25
68,2016-02-23,0.25
69,2016-02-24,0.25
70,2016-02-25,0.25
71,2016-02-26,0.25
72,2016-02-27,0.25
73,2016-02-28,0.25
74,2016-02-29,0.25
75,2016-03-01,0.25
76,2016-03-02,0.25
77,2016-03-03,0.25
78,2016-03-04,0.25
79,2016-03-05,0.25
80,2016-03-06,0.25
81,2016-03-07,0.25
82,2016-03-08,0.25
83,2016-03-09,0.25
84,2016-03-10,0.25
85,2016-03-11,0.25
86,2016-03-12,0.25
87,2016-03-13,0.25
88,2016-03-14,0.25
89,2016-03-15,0.25
90,2016-03-16,0.25
91,2016-03-17,0.25
92,2016-03-18,0.25
93,2016-03-19,0.25
94,2016-03-20,0.25
95,2016-03-21,0.25
96,2016-03-22,0.25
97,2016-03-23,0.25
98,2016-03-24,0.25
99,2016-03-25,0.25
100,2016-03-26,0.25
101,2016-03-27,0.25
102,2016-03-28,0.25
103,2016-03-29,0.25
104,2016-03-30,0.25
105,2016-03-31,0.25
106,2016-04-01,0.25
107,2016-04-02,0.25
108,2016-04-03,0.25
109,2016-04-04,0.25
110,2016-04-05,0.25
111,2016-04-06,0.25
112,2016-04-07,0.25
113,2016-04-08,0.25
114,2016-04-09,0.25
115,2016-04-10,0.25
116,2016-04-11,0.25
117,2016-04-12,0.25
118,2016-04-13,0.25
119,2016-04-14,0.25
120,2016-04-15,0.25
121,2016-04-16,0.25
122,2016-04-17,0.25
123,2016-04-18,0.25
124,2016-04-19,0.25
125,2016-04-20,0.25
126,2016-04-21,0.25
127,2016-04-22,0.25
128,2016-04-23,0.25
129,2016-04-24,0.25
130,2016-04-25,0.25
131,2016-04-26,0.25
132,2016-04-27,0.25
133,2016-04-28,0.25
134,2016-04-29,0.25
135,2016-04-30,0.25
136,2016-05-01,0.25
137,2016-05-02,0.25
138,2016-05-03,0.25
139,2016-05-04,0.25
140,2016-05-05,0.25
141,2016-05-06,0.25
142,2016-05-07,0.25
143,2016-05-08,0.25
144,2016-05-09,0.25
145,2016-05-10,0.25
146,2016-05-11,0.25
147,2016-05-12,0.25
148,2016-05-13,0.25
149,2016-05-14,0.25
150,2016-05-15,0.25
151,2016-05-16,0.25
152,2016-05-17,0.25
153,2016-05-18,0.25
154,2016-05-19,0.25
155,2016-05-20,0.25
156,2016-05-21,0.25
157,2016-05-22,0.25
158,2016-05-23,0.25
159,2016-05-24,0.25
160,2016-05-25,0.25
161,2016-05-26,0.25
162,2016-05-27,0.25
163,2016-05-28,0.25
