Australia ATHE_ATH Variant1, Return: 0.16%, Hit Ratio: 70.59%, Max Drawdown: 0.02%
Australia ATHE_ATH Variant2, Return: 0.06%, Hit Ratio: 63.64%, Max Drawdown: 0.04%
Australia ATHE_ATH Variant3a, Return: 0.15%, Hit Ratio: 69.23%, Max Drawdown: 0.05%
Australia ATHE_ATH Variant3b, Return: 0.15%, Hit Ratio: 90.91%, Max Drawdown: 0.04%
Australia GENE_GTG Variant1, Return: 0.17%, Hit Ratio: 86.67%, Max Drawdown: 0.02%
Australia GENE_GTG Variant2, Return: 0.11%, Hit Ratio: 81.25%, Max Drawdown: 0.02%
Australia GENE_GTG Variant3a, Return: 0.22%, Hit Ratio: 88.89%, Max Drawdown: 0.06%
Australia GENE_GTG Variant3b, Return: 0.15%, Hit Ratio: 76.92%, Max Drawdown: 0.04%
Australia IMMP_IMM Variant1, Return: 0.12%, Hit Ratio: 81.82%, Max Drawdown: 0.04%
Australia IMMP_IMM Variant2, Return: 0.1%, Hit Ratio: 73.33%, Max Drawdown: 0.04%
Australia IMMP_IMM Variant3a, Return: 0.11%, Hit Ratio: 90.0%, Max Drawdown: 0.02%
Australia IMMP_IMM Variant3b, Return: 0.07%, Hit Ratio: 72.73%, Max Drawdown: 0.02%
Australia IMRN_IMC Variant1, Return: 0.13%, Hit Ratio: 81.82%, Max Drawdown: 0.04%
Australia IMRN_IMC Variant2, Return: 0.15%, Hit Ratio: 76.47%, Max Drawdown: 0.08%
Australia IMRN_IMC Variant3a, Return: 0.22%, Hit Ratio: 86.67%, Max Drawdown: 0.04%
Australia IMRN_IMC Variant3b, Return: 0.2%, Hit Ratio: 87.5%, Max Drawdown: 0.04%
Australia JHX_JHX Variant1, Return: 0.11%, Hit Ratio: 100.0%, Max Drawdown: 0.01%
Australia JHX_JHX Variant2, Return: 0.08%, Hit Ratio: 72.73%, Max Drawdown: 0.04%
Australia JHX_JHX Variant3a, Return: 0.16%, Hit Ratio: 88.89%, Max Drawdown: 0.02%
Australia JHX_JHX Variant3b, Return: 0.19%, Hit Ratio: 77.27%, Max Drawdown: 0.02%
