,date,open,high,low,close,volume,average,barCount
0,2015-04-23,23.64,23.76,23.63,23.72,21810,23.699,6479
1,2015-04-24,23.91,23.96,23.86,23.92,22301,23.9135,5377
2,2015-04-27,24.06,24.08,23.96,23.98,24138,24.012,6319
3,2015-04-28,24.0,24.04,23.93,24.02,15848,23.99,4418
4,2015-04-29,23.94,23.94,23.79,23.91,42073,23.8575,8742
5,2015-04-30,23.89,23.96,23.77,23.79,30587,23.841,6500
6,2015-05-01,23.82,24.03,23.78,24.02,20815,23.93,5834
7,2015-05-04,24.25,24.33,24.17,24.31,19965,24.289,5199
8,2015-05-05,24.0,24.02,23.81,23.85,33446,23.8995,7554
9,2015-05-06,23.87,23.87,23.56,23.57,28851,23.723,7169
10,2015-05-07,23.53,23.6,23.47,23.56,31721,23.5305,8785
11,2015-05-08,23.79,23.91,23.76,23.86,32655,23.8375,6096
12,2015-05-11,23.77,23.78,23.64,23.65,25397,23.705,6898
13,2015-05-12,23.51,23.61,23.47,23.59,18257,23.5435,4748
14,2015-05-13,23.44,23.53,23.44,23.45,41028,23.4885,10395
15,2015-05-14,23.57,23.63,23.5,23.61,23860,23.575,5596
16,2015-05-15,24.08,24.21,24.07,24.21,20465,24.166,6350
17,2015-05-18,23.97,24.05,23.92,24.04,14589,23.981,4149
18,2015-05-19,24.08,24.1,24.01,24.06,14189,24.0505,4470
19,2015-05-20,23.86,24.0,23.85,23.94,15239,23.9195,4494
20,2015-05-21,24.03,24.11,24.02,24.09,21826,24.0795,5664
21,2015-05-22,24.38,24.56,24.38,24.52,32852,24.476,9720
22,2015-05-26,24.63,24.65,24.4,24.49,70428,24.4915,13113
23,2015-05-27,24.33,24.35,24.22,24.32,44001,24.2865,9148
24,2015-05-28,23.84,23.93,23.75,23.89,49118,23.8405,10770
25,2015-05-29,23.77,23.84,23.68,23.68,26825,23.7695,6685
26,2015-06-01,23.78,23.83,23.62,23.68,37226,23.7,9848
27,2015-06-02,23.69,23.8,23.66,23.72,30482,23.7465,6137
28,2015-06-03,24.1,24.16,24.07,24.16,29250,24.112,6199
29,2015-06-04,24.03,24.07,23.95,23.97,10458,23.997,3093
30,2015-06-05,23.77,23.86,23.72,23.78,15530,23.779,3270
31,2015-06-08,23.53,23.6,23.47,23.51,13786,23.51,4143
32,2015-06-09,23.29,23.3,23.2,23.27,16345,23.256,4147
33,2015-06-10,23.05,23.2,23.01,23.18,17222,23.1115,4957
34,2015-06-11,23.32,23.41,23.3,23.32,26648,23.341,4870
35,2015-06-12,23.49,23.57,23.49,23.5,12535,23.532,2676
36,2015-06-15,23.24,23.24,23.12,23.15,11069,23.151,3608
37,2015-06-16,23.09,23.2,23.06,23.18,34879,23.149,5977
38,2015-06-17,23.32,23.43,23.17,23.32,20661,23.3095,7285
39,2015-06-18,23.34,23.55,23.34,23.5,29546,23.472,7914
40,2015-06-19,23.56,23.72,23.55,23.66,21551,23.646,4906
41,2015-06-22,23.89,23.89,23.78,23.83,13182,23.8405,4232
42,2015-06-23,23.89,23.95,23.87,23.91,14509,23.907,5095
43,2015-06-24,23.78,23.8,23.65,23.65,12042,23.7045,3173
44,2015-06-25,23.48,23.49,23.29,23.29,15067,23.341,3931
45,2015-06-26,23.08,23.12,23.0,23.02,24174,23.069,4730
46,2015-06-29,22.46,22.56,22.32,22.33,36270,22.42,9069
47,2015-06-30,22.71,22.71,22.53,22.56,30573,22.5905,6248
48,2015-07-01,22.57,22.62,22.51,22.59,22288,22.559,5820
49,2015-07-02,22.93,22.99,22.88,22.92,15766,22.9345,4064
50,2015-07-06,22.05,22.19,21.99,22.03,29314,22.0935,6315
51,2015-07-07,21.69,21.8,21.34,21.76,39752,21.5865,12024
52,2015-07-08,20.74,20.91,20.52,20.62,62369,20.7245,16429
53,2015-07-09,21.71,21.86,21.5,21.51,37251,21.6395,9485
54,2015-07-10,22.03,22.08,21.9,22.02,31790,21.9895,7070
55,2015-07-13,22.34,22.41,22.32,22.36,35009,22.365,8578
56,2015-07-14,22.28,22.39,22.23,22.38,24214,22.3385,6913
57,2015-07-15,22.35,22.37,22.24,22.24,20100,22.294,5044
58,2015-07-16,22.37,22.47,22.35,22.44,17635,22.418,5442
59,2015-07-17,22.72,22.72,22.64,22.67,10945,22.6805,4044
