,date,open,high,low,close,volume,average,barCount
0,2015-04-22,53.04,53.16,52.88,53.08,64925,53.032,23394
1,2015-04-23,52.76,53.08,52.72,53.04,79534,52.968,26777
2,2015-04-24,53.2,53.24,53.12,53.24,49896,53.182,12885
3,2015-04-27,53.2,53.36,53.12,53.12,81559,53.226,21161
4,2015-04-28,53.24,53.4,53.16,53.28,67936,53.268,16021
5,2015-04-29,52.84,53.04,52.52,52.8,85496,52.79,24026
6,2015-04-30,51.84,52.0,51.4,51.44,187031,51.604,31543
7,2015-05-01,51.68,52.12,51.64,52.08,81395,51.866,17907
8,2015-05-04,52.08,52.32,52.04,52.32,54508,52.172,15059
9,2015-05-05,52.0,52.08,51.2,51.32,111516,51.452,24213
10,2015-05-06,51.44,51.48,51.0,51.28,98952,51.184,26071
11,2015-05-07,51.2,51.36,51.08,51.36,92857,51.246,19206
12,2015-05-08,52.16,52.6,52.12,52.56,70256,52.468,22018
13,2015-05-11,51.96,52.0,51.72,51.72,77241,51.886,25067
14,2015-05-12,51.64,51.8,51.52,51.7,64811,51.7,23986
15,2015-05-13,52.36,52.4,52.0,52.04,56121,52.156,21767
16,2015-05-14,52.04,52.32,51.96,52.3,68005,52.168,17851
17,2015-05-15,52.48,52.6,52.44,52.56,78238,52.524,18876
18,2015-05-18,53.0,53.04,52.84,53.0,53657,52.95,12673
19,2015-05-19,53.12,53.24,52.96,53.04,45389,53.104,19399
20,2015-05-20,52.96,53.24,52.84,53.04,94645,53.074,17982
21,2015-05-21,52.96,53.28,52.96,53.22,35005,53.12,12964
22,2015-05-22,52.96,53.2,52.96,53.12,57625,53.106,12378
23,2015-05-26,52.76,52.8,52.32,52.44,104957,52.438,22833
24,2015-05-27,52.72,52.8,52.6,52.8,45951,52.718,15640
25,2015-05-28,52.4,52.72,52.28,52.68,43788,52.556,12347
26,2015-05-29,52.24,52.28,52.0,52.2,96744,52.168,32420
27,2015-06-01,52.68,52.76,52.44,52.44,55251,52.51,20366
28,2015-06-02,52.24,52.48,52.08,52.32,39469,52.322,14161
29,2015-06-03,52.36,52.6,52.32,52.52,67105,52.48,14400
30,2015-06-04,52.16,52.36,52.04,52.16,59237,52.156,13834
31,2015-06-05,51.72,52.08,51.64,51.84,47712,51.876,11318
32,2015-06-08,51.48,51.56,51.36,51.56,36992,51.46,14183
33,2015-06-09,51.08,51.16,50.88,51.04,38103,51.036,13832
34,2015-06-10,51.72,52.0,51.68,51.88,56951,51.846,21236
35,2015-06-11,52.12,52.2,51.96,52.12,65280,52.094,17557
36,2015-06-12,51.72,51.84,51.56,51.84,44269,51.752,16060
37,2015-06-15,51.68,52.04,51.6,52.0,91049,51.876,26341
38,2015-06-16,51.44,51.8,51.44,51.76,34284,51.63,17249
39,2015-06-17,51.16,51.4,50.84,51.32,68087,51.106,25623
40,2015-06-18,51.08,51.56,51.08,51.36,61265,51.402,20804
41,2015-06-19,51.44,51.56,51.4,51.4,27339,51.488,13778
42,2015-06-22,52.16,52.4,52.16,52.2,41818,52.256,15491
43,2015-06-23,52.64,52.88,52.6,52.8,59940,52.754,17550
44,2015-06-24,52.28,52.4,52.16,52.24,53022,52.274,24409
45,2015-06-25,52.32,52.32,52.04,52.08,48406,52.2,15197
46,2015-06-26,52.28,52.4,52.2,52.32,36141,52.304,16302
47,2015-06-29,51.4,51.52,50.92,51.0,54733,51.23,18974
48,2015-06-30,51.52,51.56,51.24,51.24,68208,51.414,21023
49,2015-07-01,51.72,51.8,51.48,51.6,38702,51.648,16370
50,2015-07-02,51.48,51.64,51.4,51.6,32260,51.506,12841
51,2015-07-06,51.16,51.52,51.12,51.24,54999,51.278,16537
52,2015-07-07,51.32,51.48,50.84,51.36,121073,51.202,28657
53,2015-07-08,49.96,50.0,49.16,49.24,143697,49.536,39503
54,2015-07-09,50.04,50.16,49.68,49.84,110580,49.854,46798
55,2015-07-10,50.52,50.76,50.36,50.64,150236,50.534,45163
56,2015-07-13,51.24,51.36,51.2,51.32,53116,51.284,18487
57,2015-07-14,51.36,51.72,51.36,51.64,63624,51.602,20342
58,2015-07-15,51.52,51.76,51.44,51.6,88145,51.634,18427
59,2015-07-16,51.92,51.96,51.72,51.8,53505,51.832,20758
60,2015-07-17,51.96,52.0,51.84,51.92,29008,51.928,17334
61,2015-07-20,51.92,52.12,51.84,51.92,38789,51.982,13435
62,2015-07-21,51.76,51.8,51.56,51.76,41698,51.716,16508
63,2015-07-22,51.4,51.64,51.36,51.52,52576,51.524,15839
64,2015-07-23,51.64,51.68,51.36,51.48,114543,51.55,18474
65,2015-07-24,51.4,51.44,50.96,51.0,83256,51.112,19252
66,2015-07-27,50.6,50.84,50.48,50.8,139884,50.74,31318
67,2015-07-28,50.76,51.04,50.56,51.04,48348,50.88,14525
68,2015-07-29,50.88,51.36,50.8,51.24,53481,51.046,12273
69,2015-07-30,51.12,51.36,51.0,51.32,46512,51.248,11989
70,2015-07-31,51.68,51.8,51.56,51.72,54509,51.652,14928
71,2015-08-03,51.44,51.6,51.32,51.52,52617,51.432,17457
72,2015-08-04,51.28,51.52,51.28,51.44,62882,51.406,23538
73,2015-08-05,51.84,51.92,51.72,51.76,64790,51.806,20776
74,2015-08-06,51.68,51.72,51.44,51.6,43942,51.54,15606
75,2015-08-07,51.68,51.84,51.6,51.76,48201,51.726,13664
76,2015-08-10,52.2,52.56,52.2,52.52,47215,52.478,23547
77,2015-08-11,51.56,51.76,51.48,51.6,75834,51.594,24706
